90113   87601
65493   60615
95117   58940
52824   28807
92260   32814
91949   57396
38337   34999
12052   18581
65455   76166
38658   50581
75169   37490
99211   65985
49401   74047
85347   63826
15047   14813
51218   44570
73700   49613
64801   16661
64009   81630
20001   30124
84865   85693
91981   55200
19331   46485
77256   51481
77609   30263
15665   33198
75269   28807
54877   65701
43011   23690
83602   31675
25228   50009
11436   85693
83907   75165
73844   91399
30916   51076
11172   12446
81604   51481
52336   81312
74379   97494
29776   41572
68162   51481
72301   20320
92824   81862
51228   82862
37730   29845
12279   89300
76474   58807
91839   16960
89102   49965
12556   23352
97704   20153
62691   80924
65407   29057
30263   40253
43102   21122
42086   21742
68749   41572
78146   97896
38711   37490
90949   42627
82510   25811
21910   29845
38235   16463
